activity id,activity date,activity name,activity type,elapsed time,moving time,distance,max heart rate,elevation gain,max speed,calories,activity_date,start_time,start_date,month,year,dayofyear,dayofweek,elapsed minutes,km per hour,avg pace,Week
11520905115,"28 May 2024, 22:54:47",Nike Run Club: 7 Weeks to Go - Recovery Run,Run,3425,3220.0,6.04,173.0,55.0,3.7200000286102295,258.0,2024-05-28 22:54:47,22:54:47,2024-05-28,May,2024,149,1,57.08,6.35,9.45,22
11490128286,"25 May 2024, 02:09:16",Lunch Run,Run,586,455.0,1.19,200.0,13.399999618530272,3.63800048828125,51.0,2024-05-25 02:09:16,02:09:16,2024-05-25,May,2024,146,5,9.77,7.31,8.21,21
11513656106,"28 May 2024, 00:58:41",Nike Run Club: 7 Weeks to Go - Recovery Run,Run,988,875.0,1.84,179.0,18.0,4.016666889190674,84.0,2024-05-28 00:58:41,00:58:41,2024-05-28,May,2024,149,1,16.47,6.7,8.95,22
11677993982,"18 Jun 2024, 03:19:44",Nike Run Club: 5 Weeks to Go - Recovery Run,Run,1944,1941.0,5.03,202.0,46.0,3.955956935882568,244.0,2024-06-18 03:19:44,03:19:44,2024-06-18,June,2024,170,1,32.4,9.31,6.44,25
11559938586,"2 Jun 2024, 23:41:16",Nike Run Club: A New Run,Run,1529,1500.0,2.85,169.0,26.0,2.866015672683716,122.0,2024-06-02 23:41:16,23:41:16,2024-06-02,June,2024,154,6,25.48,6.71,8.94,22
11599728164,"8 Jun 2024, 01:23:50",Nike Run Club: 6 Weeks to Go - Long Run,Run,2526,2452.0,6.02,195.0,71.0,4.433333396911621,288.0,2024-06-08 01:23:50,01:23:50,2024-06-08,June,2024,160,5,42.1,8.58,6.99,23
11470243993,"9 Jan 2024, 06:54:46",Como Park,Run,1765,1255.0,3.19,192.0,18.130556106567383,5.061963081359863,134.0,2024-01-09 06:54:46,06:54:46,2024-01-09,January,2024,9,1,29.42,6.51,9.22,2
11490222687,"25 May 2024, 02:29:44",Nike Run Club: 4K Starting Lines,Run,1978,1655.0,4.0,195.0,21.0,3.450000047683716,193.0,2024-05-25 02:29:44,02:29:44,2024-05-25,May,2024,146,5,32.97,7.28,8.24,21
11585126344,"6 Jun 2024, 04:19:42",Nike Run Club: 6 Weeks to Go - Recovery Run,Run,1616,1510.0,3.5,190.0,33.0,4.039999961853027,166.0,2024-06-06 04:19:42,04:19:42,2024-06-06,June,2024,158,3,26.93,7.8,7.69,23
11470243862,"14 Apr 2024, 06:36:30",Como Park,Run,2633,1185.0,3.09,199.0,15.926480293273926,3.437999725341797,131.0,2024-04-14 06:36:30,06:36:30,2024-04-14,April,2024,105,6,43.88,4.23,14.2,15
